Alimentador.Código do Alimentador;Banco Regulador de Tensão.Número Operacional;Banco Regulador de Tensão.Em Serviço;Banco Regulador de Tensão.Coordenada X;Banco Regulador de Tensão.Coordenada Y;Banco Regulador de Tensão.É Banco?
BND02;311;1 - sim;697078.29;7050967.43;1 - Sim
RSL05;347;1 - sim;626158.48;6987507.15;1 - Sim
RSL06;351;1 - sim;620341.3401;6990719.091;1 - Sim
TIO01;348;1 - sim;608809.8828;6996299.804;1 - Sim
TIO03;304;1 - sim;592872.53;7000643.56;1 - Sim
TIO03;350;1 - sim;588754.19;7022944.72;1 - Sim
TIO03;356;1 - sim;582794.9329;7012060.709;1 - Sim
TIO04;330;1 - sim;597925.1493;7014010.808;1 - Sim
IAA04;305;1 - sim;642678.43;6957485.53;1 - Sim
IAA05;349;1 - sim;653277.95;6963493.46;1 - Sim
IRA01;336;1 - sim;640810.18;7007480.96;1 - Sim
IRA05;313;1 - sim;644483.77;6997722.693;1 - Sim
IRA06;335;1 - sim;640814.27;7007466.82;1 - Sim
IRA06;344;1 - sim;635961.17;7018698.26;1 - Sim
TCL01;332;1 - sim;610822.71;6983675.83;1 - Sim
TCL03;337;1 - sim;616360.67;6971347.83;1 - Sim
TCL04;354;1 - sim;625447.591;6982197.836;1 - Sim
TCL05;346;1 - sim;615220.72;6977695.68;1 - Sim
BND01;324;1 - sim;698157.6766;7055249.501;1 - Sim
SMD11;321;1 - sim;265796.28;7033377.31;1 - Sim
SGO04;335;1 - sim;681929.31;6822337.49;1 - Sim
SGO04;344;1 - sim;686814.15;6824158.24;1 - Sim
TIO05;341;1 - sim;603640.2;6988269.48;1 - Sim
BND03;319;1 - sim;697131.3;7033652.35;1 - Sim
BND03;301;1 - sim;705600.63;7041842.81;1 - Sim
FIS03;372;1 - sim;756418.17;6959628.07;1 - Sim
RCO16;301;1 - sim;732473.45;6947078.56;1 - Sim
MDA01;300;1 - sim;702140.5842;7057713.14;1 - Sim
IAL02;305;1 - sim;661256.14;7012077.83;1 - Sim
IAL02;323;1 - sim;666797.3163;7016332.023;1 - Sim
PCS05;313;1 - sim;730199.69;7050176.6;1 - Sim
PCS05;331;1 - sim;729480.0751;7046713.572;1 - Sim
NGS15;330;1 - sim;733540.1;7029189.64;1 - Sim
SLO07;323;1 - sim;296135.5;7080690.54;1 - Sim
MRA04;303;1 - sim;268996.7712;7046363.511;1 - Sim
MRA04;325;1 - sim;277214.5941;7053053.738;1 - Sim
ADE34;306;1 - sim;451913.64;7017545.98;1 - Sim
ADE34;323;1 - sim;453758.9667;7016528.588;1 - Sim
MCR04;319;1 - sim;251240.7749;7007596.27;1 - Sim
IAA07;353;1 - sim;629510.02;6966038;1 - Sim
IAA07;343;1 - sim;627403.71;6968480.55;1 - Sim
BND17;322;1 - sim;692096.88;7041153.91;1 - Sim
BND17;309;1 - sim;700825.1288;7044975.666;1 - Sim
JPI04;311;1 - sim;715137.28;7096033.34;1 - Sim
ISS03;323;1 - sim;718105.278;7024463.823;1 - Sim
TBO03;312;1 - sim;662869.33;7035304.76;1 - Sim
DPO01;308;1 - sim;650752.94;7043971.32;1 - Sim
VGE01;305;1 - sim;642192.24;7063754.14;1 - Sim
GRM01;322;1 - sim;699714.59;7069953.94;1 - Sim
TTS01;310;1 - sim;458880.86;7022942.22;1 - Sim
JRL03;318;1 - sim;678613.8;7064169.72;1 - Sim
TBO01;302;1 - sim;666622.22;7030785.93;1 - Sim
TBO06;310;1 - sim;673423.2145;7039997.59;1 - Sim
IAL01;326;1 - sim;664602.8665;7016763.049;1 - Sim
INA06;317;1 - sim;230316.5415;6993222.12;1 - Sim
LAS03;321;1 - sim;711951.81;7042039.45;1 - Sim
PBO02;322;1 - sim;736857.39;6996583.26;1 - Sim
PCS04;303;1 - sim;729454.87;7046648.76;1 - Sim
PBO04;311;1 - sim;736819.79;6995937.67;1 - Sim
PCS01;307;1 - sim;733712.37;7036684.75;1 - Sim
PCS06;310;1 - sim;734349;7030843.41;1 - Sim
PCS02;318;1 - sim;734825.33;7036343.45;1 - Sim
PCS03;314;1 - sim;737084.66;7033670.48;1 - Sim
CMB01;316;1 - sim;738401.58;7005165.74;1 - Sim
PCS08;308;1 - sim;730263.515;7045435.41;1 - Sim
ARI01;314;1 - sim;728371.12;7081172.85;1 - Sim
JVN02;300;1 - sim;705357.14;7086379.79;1 - Sim
CDR06;300;1 - sim;501171.8546;7034216.252;1 - Sim
CDR07;315;1 - sim;532578.874;7058369.837;1 - Sim
CDR07;306;1 - sim;502020.2728;7050280.832;1 - Sim
CDR09;301;1 - sim;513478.66;7040396.82;1 - Sim
CDR09;305;1 - sim;531436.38;7055483.48;1 - Sim
VDA02;308;1 - sim;478618.65;7014183.32;1 - Sim
VDA02;303;1 - sim;475376.18;7013961.17;1 - Sim
VDA02;304;1 - sim;466487.23;7022263.23;1 - Sim
FBO03;316;1 - sim;501646.39;6992151.12;1 - Sim
FBO03;321;1 - sim;509284.6211;6999719.717;1 - Sim
FBO04;311;1 - sim;517480.9175;7009326.984;1 - Sim
FBO05;302;1 - sim;498856.1101;7013434.914;1 - Sim
IOS51;316;1 - sim;612619.44;7071195.29;1 - Sim
IOS51;340;1 - sim;609072.05;7076929.7;1 - Sim
CIS02;307;1 - sim;555007.2808;7116078.261;1 - Sim
CIS02;315;1 - sim;559866.12;7107109.97;1 - Sim
CIS02;356;1 - sim;557709.2856;7110317.474;1 - Sim
CIS04;308;1 - sim;552645.59;7105977.85;1 - Sim
CIS04;309;1 - sim;541948.42;7105248.5;1 - Sim
CIS05;355;1 - sim;564276.39;7098228.3;1 - Sim
CIS06;344;1 - sim;567488.28;7104021.64;1 - Sim
CIS06;357;1 - sim;572944.003;7104720.187;1 - Sim
CIS07;319;1 - sim;551193.27;7092031.84;1 - Sim
CIS07;335;1 - sim;553409.5057;7094380.61;1 - Sim
CIS07;360;1 - sim;553955.0439;7099273.363;1 - Sim
IPS02;318;1 - sim;521245.22;7086479.87;1 - Sim
UVA01;347;1 - sim;513824.07;7091813.3;1 - Sim
CMB02;326;1 - sim;737023.07;7001507.59;1 - Sim
PBO08;309;1 - sim;746381.06;6996075.22;1 - Sim
PBO09;301;1 - sim;745177.17;6992707.03;1 - Sim
SBS03;300;1 - sim;660755.63;7103398.89;1 - Sim
SBS05;313;1 - sim;660319.11;7093009.78;1 - Sim
SBS06;308;1 - sim;660856.91;7094034.24;1 - Sim
SBS06;311;1 - sim;662075.12;7085599.33;1 - Sim
RNO02;314;1 - sim;648261.38;7093707.69;1 - Sim
RNO03;319;1 - sim;655057.515;7096123.742;1 - Sim
RNO03;318;1 - sim;656582.8048;7093995.931;1 - Sim
RNO01;316;1 - sim;652904.503;7096489.654;1 - Sim
SBB03;309;1 - sim;664508.24;7092965.36;1 - Sim
SBB05;304;1 - sim;670913.47;7101001.1;1 - Sim
SBB06;306;1 - sim;683283.22;7106353.37;1 - Sim
SBB06;302;1 - sim;673270.243;7102218.674;1 - Sim
SBB06;310;1 - sim;673791.13;7112281.21;1 - Sim
SBB06;317;1 - sim;677947.0795;7109620.408;1 - Sim
RNO07;301;1 - sim;644767.94;7094183.4;1 - Sim
RNO07;315;1 - sim;643788.72;7082690.31;1 - Sim
SJC06;308;1 - sim;245381.85;7086427.83;1 - Sim
GRI04;323;1 - sim;707309.73;7072360.42;1 - Sim
GRI04;311;1 - sim;706285.12;7069529.95;1 - Sim
SSR02;321;1 - sim;688746.95;7081554.08;1 - Sim
JSC03;317;1 - sim;713498.6443;7082926.091;1 - Sim
VDA05;307;1 - sim;488716.53;7017402.68;1 - Sim
PUO02;304;1 - sim;506731.27;7091545.03;1 - Sim
PUO02;334;1 - sim;519097.59;7096993.35;1 - Sim
CZL01;334;1 - sim;449569.8812;6964851.558;1 - Sim
CZL01;322;1 - sim;445675.8331;6965127.26;1 - Sim
CNS04;318;1 - sim;472195.97;6973858.86;1 - Sim
CNS05;320;1 - sim;486319.73;6946954.7;1 - Sim
CNS05;315;1 - sim;474960.44;6963290.47;1 - Sim
CNS05;330;1 - sim;458333.279;6953336.383;1 - Sim
CNS05;331;1 - sim;467334.6227;6959190.945;1 - Sim
CNS06;311;1 - sim;485205;6953236.49;1 - Sim
CNS06;317;1 - sim;480638.63;6954697.25;1 - Sim
HOE01;329;1 - sim;440920.5756;6994118.547;1 - Sim
HOE06;327;1 - sim;462873.5197;7001854.496;1 - Sim
HOE06;326;1 - sim;452677.8823;6997735.456;1 - Sim
HOE08;319;1 - sim;455546.7;6986044.92;1 - Sim
JVQ03;309;1 - sim;717388.9;7096321.06;1 - Sim
JVQ12;313;1 - sim;716626.08;7095869.98;1 - Sim
PRA06;308;1 - sim;708931.07;7102772.08;1 - Sim
PRA03;390;1 - sim;706157.3;7102058.07;1 - Sim
ARI02;381;1 - sim;734766.7;7077696.25;1 - Sim
ARI03;315;1 - sim;725347.8;7078313.97;1 - Sim
ARI04;383;1 - sim;734713.33;7077077.38;1 - Sim
JSC05;391;1 - sim;718750.912;7078216.145;1 - Sim
BRB11;304;1 - sim;696340.7674;6992424.161;1 - Sim
BRB11;325;1 - sim;689311.334;6990376.195;1 - Sim
MCR03;322;1 - sim;247323.5356;6992124.426;1 - Sim
ARI05;389;1 - sim;736405.4;7085589.78;1 - Sim
PRA09;302;1 - sim;707251.36;7094517.72;1 - Sim
MVA01;322;1 - sim;568070.89;7084518.96;1 - Sim
CZL02;314;1 - sim;433969.18;6971050.74;1 - Sim
CZL05;324;1 - sim;432927.5583;6985652.823;1 - Sim
CZL05;333;1 - sim;432021.3701;6990312.907;1 - Sim
INE11;355;1 - sim;754584.73;6957347.25;1 - Sim
INE02;314;1 - sim;747441.66;6960875.13;1 - Sim
INE05;323;1 - sim;754444.08;6964704.43;1 - Sim
INE07;358;1 - sim;757448.01;6962470.89;1 - Sim
INE08;357;1 - sim;755523.59;6962152.12;1 - Sim
IPS03;301;1 - sim;525187.34;7094027.79;1 - Sim
MFA02;324;1 - sim;606952.89;7106597.31;1 - Sim
MFA02;300;1 - sim;602701.96;7104625.62;1 - Sim
MFA02;327;1 - sim;613522.09;7108461.13;1 - Sim
MFA50;343;1 - sim;608462.23;7092545.75;1 - Sim
MFA06;303;1 - sim;620525.28;7112316.13;1 - Sim
MFA06;338;1 - sim;618697.42;7115509.95;1 - Sim
MFA07;326;1 - sim;628445.5974;7099597.062;1 - Sim
MFA07;311;1 - sim;621718.84;7101106.59;1 - Sim
MFA07;348;1 - sim;636113.19;7096703.31;1 - Sim
MFA05;354;1 - sim;612535.5033;7110013.095;1 - Sim
MFA04;305;1 - sim;621968.41;7112890.07;1 - Sim
STA03;306;1 - sim;597596.43;7039579.28;1 - Sim
STA03;350;1 - sim;597578.9356;7047513.483;1 - Sim
PDA02;313;1 - sim;583194.41;7060491.09;1 - Sim
PDA02;320;1 - sim;576996.78;7073404.08;1 - Sim
PDA02;351;1 - sim;577061.1395;7057385.981;1 - Sim
PDA04;362;1 - sim;590677.6067;7074762.296;1 - Sim
CZL06;302;1 - sim;428648.6;6965880.27;1 - Sim
PAI03;314;1 - sim;595630.76;7085844.3;1 - Sim
PAI03;331;1 - sim;607829.07;7093716.02;1 - Sim
TDE02;309;1 - sim;744064.66;6942965.71;1 - Sim
TDE08;365;1 - sim;746881.05;6945991.82;1 - Sim
BRB12;320;1 - sim;696853.9682;6992644.107;1 - Sim
ISL04;347;1 - sim;750898.4;6943664;1 - Sim
ISL03;363;1 - sim;741645.9;6933815.58;1 - Sim
ISL01;319;1 - sim;745596.7;6929842.9;1 - Sim
RCO13;300;1 - sim;730689.23;6944098.35;1 - Sim
PLA09;313;1 - sim;724198.51;6935250.38;1 - Sim
PLA10;305;1 - sim;723742.97;6935174.51;1 - Sim
PLA10;367;1 - sim;716887.93;6933995.46;1 - Sim
PLA10;366;1 - sim;715029.7014;6934458.248;1 - Sim
TJS01;324;1 - sim;712156.48;6979875.08;1 - Sim
AUG01;360;1 - sim;698984.34;6948993.88;1 - Sim
AUG01;370;1 - sim;691969.69;6937587.13;1 - Sim
AUG01;328;1 - sim;698358.12;6939475.03;1 - Sim
PPA03;303;1 - sim;733724.8555;6919632.483;1 - Sim
PPA03;308;1 - sim;732197.13;6931353.96;1 - Sim
COA01;301;1 - sim;391308.2086;6989648.331;1 - Sim
COA01;325;1 - sim;382040.59;6986631.79;1 - Sim
COA03;310;1 - sim;400922.86;6979474.92;1 - Sim
COA03;304;1 - sim;400087.25;6983754.17;1 - Sim
COA03;305;1 - sim;402468.4;6978555.33;1 - Sim
COA03;327;1 - sim;405620.535;6974118.968;1 - Sim
ATA01;320;1 - sim;388050.98;6997396.72;1 - Sim
PMS04;309;1 - sim;272199.28;7004173.37;1 - Sim
PMS05;312;1 - sim;285147.83;7018839.86;1 - Sim
INA01;316;1 - sim;233157.57;7011094.82;1 - Sim
INA05;320;1 - sim;241203.5435;7003082.79;1 - Sim
ATA02;319;1 - sim;388080.25;6997435.11;1 - Sim
ATA02;309;1 - sim;390394.71;7002867.74;1 - Sim
PGI01;339;1 - sim;629968.82;7016398.32;1 - Sim
PGI02;307;1 - sim;628660.5;7014108.7;1 - Sim
PGI03;310;1 - sim;620251.82;7021751.6;1 - Sim
PGI03;355;1 - sim;612814.3689;7030252.987;1 - Sim
COA05;311;1 - sim;381608.64;6993558.57;1 - Sim
COA05;321;1 - sim;392813.3019;6990965.113;1 - Sim
PZO01;306;1 - sim;314669.03;7025428.18;1 - Sim
PZO03;331;1 - sim;302493.6476;7021572.107;1 - Sim
PZO06;311;1 - sim;291423.83;7075497.28;1 - Sim
PZO06;323;1 - sim;295332.39;7046552.49;1 - Sim
CCI04;300;1 - sim;330806.79;7021740.84;1 - Sim
CCI04;317;1 - sim;336762.3829;7012679.324;1 - Sim
XXE01;305;1 - sim;355367.33;7052850.39;1 - Sim
XXE01;315;1 - sim;361098.8114;7042257.208;1 - Sim
XXE02;303;1 - sim;361598.06;7042201.01;1 - Sim
XXE02;322;1 - sim;368533.83;7058875.57;1 - Sim
SLO02;310;1 - sim;300062.2;7077516.58;1 - Sim
SLO02;329;1 - sim;307258.1526;7074603.4;1 - Sim
QLO02;319;1 - sim;327246.13;7043430.68;1 - Sim
QLO03;316;1 - sim;321197.09;7031715.29;1 - Sim
QLO03;332;1 - sim;315013.9353;7042318.457;1 - Sim
TJS06;326;1 - sim;707655.5044;6980067.393;1 - Sim
ISL05;371;1 - sim;744006.5177;6938318.419;1 - Sim
BQB01;350;1 - sim;726695.95;6957195.75;1 - Sim
BQB02;348;1 - sim;733779.88;6952577.27;1 - Sim
INE01;322;1 - sim;747347.9;6957509.57;1 - Sim
INE01;373;1 - sim;745536.5455;6952482.516;1 - Sim
TJS07;312;1 - sim;711007.95;6985268.41;1 - Sim
TJS07;342;1 - sim;716748.4235;6982045.204;1 - Sim
ISL06;339;1 - sim;748916.619;6939595.722;1 - Sim
FGS03;314;1 - sim;381367.68;7037877.87;1 - Sim
FGS03;322;1 - sim;376726.2061;7030760.096;1 - Sim
FGS01;316;1 - sim;385231.4;7026990.31;1 - Sim
FGS01;307;1 - sim;397116.44;7029212.35;1 - Sim
CCI11;308;1 - sim;339865.73;6997370.14;1 - Sim
MFA08;346;1 - sim;618784.55;7099225.11;1 - Sim
SRA05;318;1 - sim;368494.72;7002490.68;1 - Sim
FGS04;317;1 - sim;392965.55;7037114.66;1 - Sim
FGS04;313;1 - sim;396164.61;7037891.03;1 - Sim
SJC02;315;1 - sim;249453.23;7060189.18;1 - Sim
SJC01;324;1 - sim;237115.0719;7075847.345;1 - Sim
SJC05;305;1 - sim;272406.83;7082775.57;1 - Sim
SMD01;300;1 - sim;242306.49;7020924.16;1 - Sim
SMD03;306;1 - sim;251824.89;7024895.14;1 - Sim
SMD07;307;1 - sim;249388.9;7054756.42;1 - Sim
SMD08;314;1 - sim;238820.92;7038308.46;1 - Sim
PZO05;301;1 - sim;282322.11;7023242.64;1 - Sim
PZO05;318;1 - sim;285810.1623;7023738.485;1 - Sim
PMS07;310;1 - sim;297119.7785;7003079.183;1 - Sim
SJM02;308;1 - sim;636781.2481;6896133.576;1 - Sim
SJM02;318;1 - sim;633567.8092;6864422.849;1 - Sim
LUC01;310;1 - sim;542640.13;6937339.21;1 - Sim
LUC03;301;1 - sim;531533.62;6911513.15;1 - Sim
LUC03;313;1 - sim;546138.4157;6918284.425;1 - Sim
AGI02;304;1 - sim;511989.03;6925213.24;1 - Sim
ICA06;321;1 - sim;663527.77;6825386.11;1 - Sim
CFL02;305;1 - sim;648845.17;6828249.01;1 - Sim
CFL02;333;1 - sim;651051.684;6828637.298;1 - Sim
MJA04;307;1 - sim;649681.1;6806709.1;1 - Sim
AGA06;398;1 - sim;649843.25;6796464.4;1 - Sim
AGA06;327;1 - sim;653555.9393;6793115.048;1 - Sim
AGA03;311;1 - sim;651291.276;6797221.645;1 - Sim
AGA03;323;1 - sim;657580.6059;6797667.588;1 - Sim
EMO01;315;1 - sim;625893.2362;6794415.532;1 - Sim
SIO01;306;1 - sim;626720.96;6776611.42;1 - Sim
SIO01;324;1 - sim;634768.44;6776779.45;1 - Sim
CUA10;320;1 - sim;659322.23;6823016.18;1 - Sim
CUA07;318;1 - sim;659446.76;6816863.38;1 - Sim
CCI09;301;1 - sim;323705.72;6997729.36;1 - Sim
CCI09;314;1 - sim;326848.22;6997852.23;1 - Sim
SRS05;329;1 - sim;654177.7257;6834606.52;1 - Sim
FLA03;322;1 - sim;655826.407;6822876.714;1 - Sim
CNS01;312;1 - sim;508209.216;6956211.125;1 - Sim
CNS01;313;1 - sim;495002.44;6958989.86;1 - Sim
CNS01;310;1 - sim;487158.71;6966735.23;1 - Sim
CNS01;325;1 - sim;501670.3801;6983824.45;1 - Sim
CNS01;309;1 - sim;498800.406;6974822.208;1 - Sim
PMS06;313;1 - sim;299599.31;7002968.5;1 - Sim
PMS06;309;1 - sim;310556.09;6997258.29;1 - Sim
PZO08;325;1 - sim;301966.6;7030388.59;1 - Sim
SLO05;304;1 - sim;345383.75;7063865.57;1 - Sim
SLO05;312;1 - sim;333362.54;7071881.81;1 - Sim
SLO05;324;1 - sim;324466.69;7079054.63;1 - Sim
BRO02;354;1 - sim;659258.85;6931442.75;1 - Sim
BRO02;375;1 - sim;666441.5156;6935543.846;1 - Sim
BRO02;374;1 - sim;660197.6816;6937354.441;1 - Sim
BRO03;315;1 - sim;624070.55;6922820.46;1 - Sim
BRO03;305;1 - sim;638995.2;6906478.947;1 - Sim
SCO02;316;1 - sim;552749.02;6990838.79;1 - Sim
SCO03;309;1 - sim;533070.57;6983458.5;1 - Sim
SCA03;320;1 - sim;555651.46;7024009.25;1 - Sim
SCA02;322;1 - sim;558205.05;7016140.6;1 - Sim
SCA01;321;1 - sim;558265.0423;7016110.916;1 - Sim
PZO10;328;1 - sim;317114.4241;7022641.48;1 - Sim
PZO10;321;1 - sim;309596.97;7023558.12;1 - Sim
SRS03;313;1 - sim;647656.24;6831891.77;1 - Sim
SRS01;330;1 - sim;657922.8517;6832553.482;1 - Sim
SIO03;304;1 - sim;626824.23;6776639.24;1 - Sim
CFL07;319;1 - sim;652264.03;6828404.37;1 - Sim
FLA02;334;1 - sim;654621.145;6822885.642;1 - Sim
STA04;359;1 - sim;605019.7282;7056149.304;1 - Sim
BQB05;329;1 - sim;726633.76;6957094.08;1 - Sim
BQB05;351;1 - sim;719012.41;6954051.45;1 - Sim
BQB05;311;1 - sim;711650.3433;6952368.375;1 - Sim
CSC03;324;1 - sim;409536.17;6982633.6;1 - Sim
CSC03;323;1 - sim;410046.2499;6973316.393;1 - Sim
CSC04;315;1 - sim;404611.95;6988297.29;1 - Sim
CSC04;308;1 - sim;408247.7;6987813.71;1 - Sim
CSC05;303;1 - sim;420299.96;6994614.08;1 - Sim
CSC05;302;1 - sim;409419.89;6993114.29;1 - Sim
MJA03;317;1 - sim;649755.54;6806481.65;1 - Sim
EMO02;326;1 - sim;635587.8982;6788846.833;1 - Sim
TRO02;355;1 - sim;705205.7688;6842307.553;1 - Sim
TRO05;300;1 - sim;701939.29;6854007.59;1 - Sim
TRO05;305;1 - sim;710217.32;6853617.14;1 - Sim
TRO05;311;1 - sim;706893.11;6860703.52;1 - Sim
TRO06;302;1 - sim;691348.01;6848678.9;1 - Sim
TRO06;345;1 - sim;687711.03;6851602.89;1 - Sim
LGA03;358;1 - sim;718422.32;6843787.58;1 - Sim
IBA02;319;1 - sim;713286.9;6863821.74;1 - Sim
IBA02;332;1 - sim;706407.2;6870212.91;1 - Sim
IBA02;357;1 - sim;718467.87;6873498.42;1 - Sim
JVA02;315;1 - sim;693058.84;6833226.63;1 - Sim
JVA01;326;1 - sim;693042.63;6833341.68;1 - Sim
JVA01;352;1 - sim;686216.54;6830806.54;1 - Sim
JVA01;351;1 - sim;688158.02;6832796.49;1 - Sim
JVA03;318;1 - sim;693046.73;6833225.76;1 - Sim
JVA05;322;1 - sim;693046.45;6833253.21;1 - Sim
IBA10;354;1 - sim;726158.4599;6876816.68;1 - Sim
IBA10;356;1 - sim;726672.8339;6886790.622;1 - Sim
IBA09;347;1 - sim;723608.86;6867125.98;1 - Sim
JVA06;312;1 - sim;692835.49;6833557.89;1 - Sim
LGA05;359;1 - sim;717900.33;6857565.43;1 - Sim
TRO08;348;1 - sim;689192.14;6849832.09;1 - Sim
GRM13;326;1 - sim;700047.4883;7066554.11;1 - Sim
QLO05;307;1 - sim;321049.8;7050900.51;1 - Sim
QLO05;330;1 - sim;326507.7303;7043772.053;1 - Sim
CIS08;345;1 - sim;568975.24;7109915.09;1 - Sim
CIS08;323;1 - sim;561716.08;7106072.83;1 - Sim
BQB07;362;1 - sim;734743.79;6964513.91;1 - Sim
BQB07;302;1 - sim;733121.93;6960159.45;1 - Sim
TRO07;349;1 - sim;698728.19;6851383.14;1 - Sim
NGS14;325;1 - sim;734189.2962;7029074.459;1 - Sim
IOA06;316;1 - sim;738858.11;7117949.84;1 - Sim
IOA03;399;1 - sim;738270.94;7109066.35;1 - Sim
IOA03;310;1 - sim;734027.77;7100340.2;1 - Sim
IOA03;388;1 - sim;730816.96;7107865.98;1 - Sim
IOA04;396;1 - sim;740479.68;7106089.83;1 - Sim
GRM05;317;1 - sim;690705.58;7078044.11;1 - Sim
APG02;318;1 - sim;720656.5245;7075295.911;1 - Sim
XXE07;302;1 - sim;366951.56;7059114.57;1 - Sim
XXE07;320;1 - sim;360452.78;7039571.62;1 - Sim
XXE07;333;1 - sim;363873.09;7056545.7;1 - Sim
VRC04;352;1 - sim;664415.2173;6963675.296;1 - Sim
NGS02;314;1 - sim;709381.33;7042811.55;1 - Sim
NGS02;315;1 - sim;721598.48;7035705.07;1 - Sim
LVR05;302;1 - sim;565454.5244;6942550.305;1 - Sim
LVR09;307;1 - sim;588104.22;6911285.88;1 - Sim
LVR04;312;1 - sim;577828.73;6927428.5;1 - Sim
SIO05;303;1 - sim;634754.107;6776769.414;1 - Sim
SIO05;331;1 - sim;637544.23;6774436.82;1 - Sim
IPS04;339;1 - sim;530042.25;7077750.27;1 - Sim
IPS04;330;1 - sim;527648.05;7083222.59;1 - Sim
IPS04;349;1 - sim;522935.8108;7087203.15;1 - Sim
AGA08;314;1 - sim;642294.66;6793008.93;1 - Sim
QLO04;327;1 - sim;327598.78;7026171.06;1 - Sim
TRA05;309;1 - sim;476713.64;7004782.67;1 - Sim
PCS09;328;1 - sim;730078.98;7049002.82;1 - Sim
BBS02;324;1 - sim;746339.31;6996077.72;1 - Sim
IIA07;329;1 - sim;730219.2051;7008776.016;1 - Sim
INE12;369;1 - sim;746370.6835;6956218.908;1 - Sim
TJS09;359;1 - sim;741021.5571;6975941.299;1 - Sim
TJS09;317;1 - sim;734632.677;6975931.001;1 - Sim
ISL07;368;1 - sim;743227.7535;6934788.572;1 - Sim
CRA02;342;1 - sim;548773.52;7088127.47;1 - Sim
CRA02;352;1 - sim;543030.6356;7094835.822;1 - Sim
CRA02;358;1 - sim;546896.97;7094036.07;1 - Sim
CRA04;353;1 - sim;537871.29;7084742.26;1 - Sim
CRA04;336;1 - sim;541919.0512;7087269.327;1 - Sim
CRA04;361;1 - sim;539102.3473;7090311.883;1 - Sim
JSL09;327;1 - sim;688695.89;7073974.37;1 - Sim
IBA07;353;1 - sim;726623.5603;6885421.368;1 - Sim
CIS10;363;1 - sim;549717.93;7096820.89;1 - Sim
GVA05;398;1 - sim;718968.59;7117773.71;1 - Sim
EMO03;332;1 - sim;625950.28;6794430.848;1 - Sim
IBA11;350;1 - sim;726329.32;6876808.43;1 - Sim
IBA11;303;1 - sim;718644.1249;6873340.219;1 - Sim
CBU22;327;1 - sim;732417.96;7011967.24;1 - Sim
ACA01;307;1 - sim;727032.827;7065511.151;1 - Sim
ACA02;304;1 - sim;723362.77;7071934.03;1 - Sim
AGA09;328;1 - sim;650768.58;6796715.73;1 - Sim
PCN01;327;1 - sim;727765.19;6946208.24;1 - Sim
PCN05;310;1 - sim;728295.0075;6945624.539;1 - Sim
PLA13;331;1 - sim;732525.17;6931460.92;1 - Sim
CSA03;326;1 - sim;339397.79;6996115.49;1 - Sim
PLA15;333;1 - sim;731825.63;6942446.53;1 - Sim
PLA16;306;1 - sim;719484.11;6935788.76;1 - Sim
PLA16;361;1 - sim;724138.71;6935233.45;1 - Sim
BVS02;300;1 - sim;722648.52;7053646.68;1 - Sim
BVS02;319;1 - sim;726558.2195;7055775.127;1 - Sim
;;;;;
 ; ; ; ; ; 
 ; ; ; ; ; 
